Computer ID,Kernel Version,Custom field,Date/Time,Drive #,Vendor,Drive Model,Drive Serial,Drive Size,Action Result,Action Duration,User name,Action,Number of wipes,Drive Errors,Dirty Sectors,Motherboard Vendor,Motherboard Product,CPU 1,CPU 2,CPU 3,CPU 4,RAM,NIC 1,NIC 2,NIC 3,NIC 4,Optical Drive 1,Optical Drive 2,Optical Drive 3,Optical Drive 4,Hard Drive 1,Hard Drive 2,Hard Drive 3,Hard Drive 4,Hard Drive 5,Hard Drive 6,Hard Drive 7,Hard Drive 8,Hard Drive 9,Hard Drive 10,Hard Drive 11,Hard Drive 12,Hard Drive 13,Hard Drive 14,Hard Drive 15,Hard Drive 16,Video Card 1,Video Card 2,Multimedia Card 1,USB1 Ports,USB2 Ports,Motherboard Test,Processor Test,Memory Test,Display Test,Keyboard Test,Computer Vendor,Computer Model,Computer Serial,HPA Detected,HPA Removed,DCO Detected,DCO Removed,Secure Erase Passes,Secure Erase Enhanced Passes,user1,user1-name,user2,user2-name,user3,user3-name,user4,user4-name,user5-values,user5-name,user6,user6-name,user7,user7-name,user8,user8-name,user9,user9-name,user10,user10-name,Action Start Time,Action End Time,USB3 Ports,Wipe Pattern,SSD whitelist support level,Software Used,UUID,Job UUID,Pre-wipe test result,Pre-wipe test duration(seconds),Pre-wipe test sectors read,Sanitize Crypto Erase Passes,Sanitize Block Erase Passes,Sanitize Overwrite Passes,Sectors Overwritten,Sectors Not Overwritten,Sectors Verified,DCO-Locked,NIST Method Type,AMAX Detected,AMAX Removed,OPAL Crypto Erase Passes
Unavailable,4.14.65-gentoo,,04-12-2019 09:56,1,Seagate,SEAGATE ST31000340NS,9QJ42C6V,1000204.89 MB,Success,13:11:46,ITAMG,Overwrite,3,0,0,Xyratex,HS-1235T-ATX,"Intel(R) Xeon(R) CPU           E5620  @ 2.40GHz, Speed: 2400 MHz, Cores: 4, L1 Cache: 256 kB, L2 Cache: 1024 kB",,,,"24576 MB, Memory banks: 3, Other DIMM","Vendor: Intel Corporation, Product: 82574L Gigabit Network Connection, MAC Address: 00:50:cc:6b:02:d8","Vendor: Intel Corporation, Product: 82574L Gigabit Network Connection, MAC Address: 00:50:cc:6b:02:d9","Vendor: Unavailable, Product: Unavailable, MAC Address: 00:e0:4c:68:89:5b",,Device-CD#0,,,,"sdl, Product: SEAGATE ST31000340NS, Serial: 9QJ42C6V, Size: 1000.20 GB","sdn, Product: SEAGATE ST31000340NS, Serial: 9QJ420NP, Size: 1000.20 GB","sdg, Product: SEAGATE ST31000340NS, Serial: 9QJ41NNP, Size: 1000.20 GB","sdb, Product: SEAGATE ST31000340NS, Serial: 9QJ42NCE, Size: 1000.20 GB","sdj, Product: SEAGATE ST31000340NS, Serial: 9QJ42V88, Size: 1000.20 GB","sdh, Product: SEAGATE ST31000340NS, Serial: 9QJ426A7, Size: 1000.20 GB","sdk, Product: SEAGATE ST31000340NS, Serial: 9QJ428QZ, Size: 1000.20 GB","sdi, Product: SEAGATE ST31000340NS, Serial: 9QJ420J4, Size: 1000.20 GB","sdc, Product: SEAGATE ST31000340NS, Serial: 9QJ42N78, Size: 1000.20 GB","sdd, Product: SEAGATE ST31000340NS, Serial: 9QJ42NW7, Size: 1000.20 GB","sda, Product: SEAGATE ST31000340NS, Serial: 9QJ42N7V, Size: 1000.20 GB","sdm, Product: Hitachi HUA721010KLA330, Serial: GTA060PBK0ZZ0F, Size: 1000.20 GB",,,,,"Vendor: ASPEED Technology, Inc., Product: ASPEED Graphics Family",,,9,2,Pass,Pass,Pass,Pass,Pass,Xyratex,Storage Server,MBC0944037G3859,0,0,0,0,0,1,Randy Prashad,Username,9999999991,Asset Number,Tangoe,Lot Name,17473,Lot Number,Parts_Hard Drive 3.5,\"Product\",,,,,,,,,,,"Tuesday, 03 Dec 2019 at 18:02:31","Wednesday, 04 Dec 2019 at 07:14:17",0,Department of Defense 5220.22-M - 3 Pass,,WipeDrive Enterprise 9.1.3 64-bit,85D6BE60-5F25-45E3-B8C2-1C626E6A9D4F,29B37602-334F-4B38-A4B1-44C8955E6501,Undefined,0,0,0,0,0,1953525168,0,1953525168,0,Clear,0,0,0
Unavailable,4.14.65-gentoo,,04-12-2019 09:56,2,Seagate,SEAGATE ST31000340NS,9QJ420NP,1000204.89 MB,Failure,03:25:43,ITAMG,Overwrite,2,1,0,Xyratex,HS-1235T-ATX,"Intel(R) Xeon(R) CPU           E5620  @ 2.40GHz, Speed: 2400 MHz, Cores: 4, L1 Cache: 256 kB, L2 Cache: 1024 kB",,,,"24576 MB, Memory banks: 3, Other DIMM","Vendor: Intel Corporation, Product: 82574L Gigabit Network Connection, MAC Address: 00:50:cc:6b:02:d8","Vendor: Intel Corporation, Product: 82574L Gigabit Network Connection, MAC Address: 00:50:cc:6b:02:d9","Vendor: Unavailable, Product: Unavailable, MAC Address: 00:e0:4c:68:89:5b",,Device-CD#0,,,,"sdl, Product: SEAGATE ST31000340NS, Serial: 9QJ42C6V, Size: 1000.20 GB","sdn, Product: SEAGATE ST31000340NS, Serial: 9QJ420NP, Size: 1000.20 GB","sdg, Product: SEAGATE ST31000340NS, Serial: 9QJ41NNP, Size: 1000.20 GB","sdb, Product: SEAGATE ST31000340NS, Serial: 9QJ42NCE, Size: 1000.20 GB","sdj, Product: SEAGATE ST31000340NS, Serial: 9QJ42V88, Size: 1000.20 GB","sdh, Product: SEAGATE ST31000340NS, Serial: 9QJ426A7, Size: 1000.20 GB","sdk, Product: SEAGATE ST31000340NS, Serial: 9QJ428QZ, Size: 1000.20 GB","sdi, Product: SEAGATE ST31000340NS, Serial: 9QJ420J4, Size: 1000.20 GB","sdc, Product: SEAGATE ST31000340NS, Serial: 9QJ42N78, Size: 1000.20 GB","sdd, Product: SEAGATE ST31000340NS, Serial: 9QJ42NW7, Size: 1000.20 GB","sda, Product: SEAGATE ST31000340NS, Serial: 9QJ42N7V, Size: 1000.20 GB","sdm, Product: Hitachi HUA721010KLA330, Serial: GTA060PBK0ZZ0F, Size: 1000.20 GB",,,,,"Vendor: ASPEED Technology, Inc., Product: ASPEED Graphics Family",,,9,2,Pass,Pass,Pass,Pass,Pass,Xyratex,Storage Server,MBC0944037G3859,0,0,0,0,0,1,Randy Prashad,Username,9999999991,Asset Number,Tangoe,Lot Name,17473,Lot Number,Parts_Hard Drive 3.5,\"Product\",,,,,,,,,,,"Tuesday, 03 Dec 2019 at 18:02:31","Tuesday, 03 Dec 2019 at 21:28:14",0,Department of Defense 5220.22-M - 3 Pass,,WipeDrive Enterprise 9.1.3 64-bit,5304EA12-1FCE-4467-8BEE-9B289E51DE2A,29B37602-334F-4B38-A4B1-44C8955E6501,Undefined,0,0,0,0,0,1953525168,0,2,0,Unknown,0,0,0
Unavailable,4.14.65-gentoo,,04-12-2019 09:56,3,Seagate,SEAGATE ST31000340NS,9QJ41NNP,1000204.89 MB,Success,12:42:03,ITAMG,Overwrite,3,0,0,Xyratex,HS-1235T-ATX,"Intel(R) Xeon(R) CPU           E5620  @ 2.40GHz, Speed: 2400 MHz, Cores: 4, L1 Cache: 256 kB, L2 Cache: 1024 kB",,,,"24576 MB, Memory banks: 3, Other DIMM","Vendor: Intel Corporation, Product: 82574L Gigabit Network Connection, MAC Address: 00:50:cc:6b:02:d8","Vendor: Intel Corporation, Product: 82574L Gigabit Network Connection, MAC Address: 00:50:cc:6b:02:d9","Vendor: Unavailable, Product: Unavailable, MAC Address: 00:e0:4c:68:89:5b",,Device-CD#0,,,,"sdl, Product: SEAGATE ST31000340NS, Serial: 9QJ42C6V, Size: 1000.20 GB","sdn, Product: SEAGATE ST31000340NS, Serial: 9QJ420NP, Size: 1000.20 GB","sdg, Product: SEAGATE ST31000340NS, Serial: 9QJ41NNP, Size: 1000.20 GB","sdb, Product: SEAGATE ST31000340NS, Serial: 9QJ42NCE, Size: 1000.20 GB","sdj, Product: SEAGATE ST31000340NS, Serial: 9QJ42V88, Size: 1000.20 GB","sdh, Product: SEAGATE ST31000340NS, Serial: 9QJ426A7, Size: 1000.20 GB","sdk, Product: SEAGATE ST31000340NS, Serial: 9QJ428QZ, Size: 1000.20 GB","sdi, Product: SEAGATE ST31000340NS, Serial: 9QJ420J4, Size: 1000.20 GB","sdc, Product: SEAGATE ST31000340NS, Serial: 9QJ42N78, Size: 1000.20 GB","sdd, Product: SEAGATE ST31000340NS, Serial: 9QJ42NW7, Size: 1000.20 GB","sda, Product: SEAGATE ST31000340NS, Serial: 9QJ42N7V, Size: 1000.20 GB","sdm, Product: Hitachi HUA721010KLA330, Serial: GTA060PBK0ZZ0F, Size: 1000.20 GB",,,,,"Vendor: ASPEED Technology, Inc., Product: ASPEED Graphics Family",,,9,2,Pass,Pass,Pass,Pass,Pass,Xyratex,Storage Server,MBC0944037G3859,0,0,0,0,0,1,Randy Prashad,Username,9999999991,Asset Number,Tangoe,Lot Name,17473,Lot Number,Parts_Hard Drive 3.5,\"Product\",,,,,,,,,,,"Tuesday, 03 Dec 2019 at 18:02:31","Wednesday, 04 Dec 2019 at 06:44:34",0,Department of Defense 5220.22-M - 3 Pass,,WipeDrive Enterprise 9.1.3 64-bit,ABA00C7F-57B9-4F72-90B6-82EAC6D104B2,29B37602-334F-4B38-A4B1-44C8955E6501,Undefined,0,0,0,0,0,1953525168,0,1953525168,0,Clear,0,0,0
Unavailable,4.14.65-gentoo,,04-12-2019 09:56,4,Seagate,SEAGATE ST31000340NS,9QJ42NCE,1000204.89 MB,Success,13:15:38,ITAMG,Overwrite,3,0,0,Xyratex,HS-1235T-ATX,"Intel(R) Xeon(R) CPU           E5620  @ 2.40GHz, Speed: 2400 MHz, Cores: 4, L1 Cache: 256 kB, L2 Cache: 1024 kB",,,,"24576 MB, Memory banks: 3, Other DIMM","Vendor: Intel Corporation, Product: 82574L Gigabit Network Connection, MAC Address: 00:50:cc:6b:02:d8","Vendor: Intel Corporation, Product: 82574L Gigabit Network Connection, MAC Address: 00:50:cc:6b:02:d9","Vendor: Unavailable, Product: Unavailable, MAC Address: 00:e0:4c:68:89:5b",,Device-CD#0,,,,"sdl, Product: SEAGATE ST31000340NS, Serial: 9QJ42C6V, Size: 1000.20 GB","sdn, Product: SEAGATE ST31000340NS, Serial: 9QJ420NP, Size: 1000.20 GB","sdg, Product: SEAGATE ST31000340NS, Serial: 9QJ41NNP, Size: 1000.20 GB","sdb, Product: SEAGATE ST31000340NS, Serial: 9QJ42NCE, Size: 1000.20 GB","sdj, Product: SEAGATE ST31000340NS, Serial: 9QJ42V88, Size: 1000.20 GB","sdh, Product: SEAGATE ST31000340NS, Serial: 9QJ426A7, Size: 1000.20 GB","sdk, Product: SEAGATE ST31000340NS, Serial: 9QJ428QZ, Size: 1000.20 GB","sdi, Product: SEAGATE ST31000340NS, Serial: 9QJ420J4, Size: 1000.20 GB","sdc, Product: SEAGATE ST31000340NS, Serial: 9QJ42N78, Size: 1000.20 GB","sdd, Product: SEAGATE ST31000340NS, Serial: 9QJ42NW7, Size: 1000.20 GB","sda, Product: SEAGATE ST31000340NS, Serial: 9QJ42N7V, Size: 1000.20 GB","sdm, Product: Hitachi HUA721010KLA330, Serial: GTA060PBK0ZZ0F, Size: 1000.20 GB",,,,,"Vendor: ASPEED Technology, Inc., Product: ASPEED Graphics Family",,,9,2,Pass,Pass,Pass,Pass,Pass,Xyratex,Storage Server,MBC0944037G3859,0,0,0,0,0,1,Randy Prashad,Username,9999999991,Asset Number,Tangoe,Lot Name,17473,Lot Number,Parts_Hard Drive 3.5,\"Product\",,,,,,,,,,,"Tuesday, 03 Dec 2019 at 18:02:31","Wednesday, 04 Dec 2019 at 07:18:09",0,Department of Defense 5220.22-M - 3 Pass,,WipeDrive Enterprise 9.1.3 64-bit,F3F74EB3-09FF-4968-B188-C2805C156E15,29B37602-334F-4B38-A4B1-44C8955E6501,Undefined,0,0,0,0,0,1953525168,0,1953525168,0,Clear,0,0,0
Unavailable,4.14.65-gentoo,,04-12-2019 09:56,5,Seagate,SEAGATE ST31000340NS,9QJ42V88,1000204.89 MB,Success,13:17:58,ITAMG,Overwrite,3,0,0,Xyratex,HS-1235T-ATX,"Intel(R) Xeon(R) CPU           E5620  @ 2.40GHz, Speed: 2400 MHz, Cores: 4, L1 Cache: 256 kB, L2 Cache: 1024 kB",,,,"24576 MB, Memory banks: 3, Other DIMM","Vendor: Intel Corporation, Product: 82574L Gigabit Network Connection, MAC Address: 00:50:cc:6b:02:d8","Vendor: Intel Corporation, Product: 82574L Gigabit Network Connection, MAC Address: 00:50:cc:6b:02:d9","Vendor: Unavailable, Product: Unavailable, MAC Address: 00:e0:4c:68:89:5b",,Device-CD#0,,,,"sdl, Product: SEAGATE ST31000340NS, Serial: 9QJ42C6V, Size: 1000.20 GB","sdn, Product: SEAGATE ST31000340NS, Serial: 9QJ420NP, Size: 1000.20 GB","sdg, Product: SEAGATE ST31000340NS, Serial: 9QJ41NNP, Size: 1000.20 GB","sdb, Product: SEAGATE ST31000340NS, Serial: 9QJ42NCE, Size: 1000.20 GB","sdj, Product: SEAGATE ST31000340NS, Serial: 9QJ42V88, Size: 1000.20 GB","sdh, Product: SEAGATE ST31000340NS, Serial: 9QJ426A7, Size: 1000.20 GB","sdk, Product: SEAGATE ST31000340NS, Serial: 9QJ428QZ, Size: 1000.20 GB","sdi, Product: SEAGATE ST31000340NS, Serial: 9QJ420J4, Size: 1000.20 GB","sdc, Product: SEAGATE ST31000340NS, Serial: 9QJ42N78, Size: 1000.20 GB","sdd, Product: SEAGATE ST31000340NS, Serial: 9QJ42NW7, Size: 1000.20 GB","sda, Product: SEAGATE ST31000340NS, Serial: 9QJ42N7V, Size: 1000.20 GB","sdm, Product: Hitachi HUA721010KLA330, Serial: GTA060PBK0ZZ0F, Size: 1000.20 GB",,,,,"Vendor: ASPEED Technology, Inc., Product: ASPEED Graphics Family",,,9,2,Pass,Pass,Pass,Pass,Pass,Xyratex,Storage Server,MBC0944037G3859,0,0,0,0,0,1,Randy Prashad,Username,9999999991,Asset Number,Tangoe,Lot Name,17473,Lot Number,Parts_Hard Drive 3.5,\"Product\",,,,,,,,,,,"Tuesday, 03 Dec 2019 at 18:02:31","Wednesday, 04 Dec 2019 at 07:20:29",0,Department of Defense 5220.22-M - 3 Pass,,WipeDrive Enterprise 9.1.3 64-bit,4EFD93AA-A823-4A5C-B3C1-3E66F75836EA,29B37602-334F-4B38-A4B1-44C8955E6501,Undefined,0,0,0,0,0,1953525168,0,1953525168,0,Clear,0,0,0
Unavailable,4.14.65-gentoo,,04-12-2019 09:56,6,Seagate,SEAGATE ST31000340NS,9QJ426A7,1000204.89 MB,Failure,09:39:42,ITAMG,Overwrite,3,1,0,Xyratex,HS-1235T-ATX,"Intel(R) Xeon(R) CPU           E5620  @ 2.40GHz, Speed: 2400 MHz, Cores: 4, L1 Cache: 256 kB, L2 Cache: 1024 kB",,,,"24576 MB, Memory banks: 3, Other DIMM","Vendor: Intel Corporation, Product: 82574L Gigabit Network Connection, MAC Address: 00:50:cc:6b:02:d8","Vendor: Intel Corporation, Product: 82574L Gigabit Network Connection, MAC Address: 00:50:cc:6b:02:d9","Vendor: Unavailable, Product: Unavailable, MAC Address: 00:e0:4c:68:89:5b",,Device-CD#0,,,,"sdl, Product: SEAGATE ST31000340NS, Serial: 9QJ42C6V, Size: 1000.20 GB","sdn, Product: SEAGATE ST31000340NS, Serial: 9QJ420NP, Size: 1000.20 GB","sdg, Product: SEAGATE ST31000340NS, Serial: 9QJ41NNP, Size: 1000.20 GB","sdb, Product: SEAGATE ST31000340NS, Serial: 9QJ42NCE, Size: 1000.20 GB","sdj, Product: SEAGATE ST31000340NS, Serial: 9QJ42V88, Size: 1000.20 GB","sdh, Product: SEAGATE ST31000340NS, Serial: 9QJ426A7, Size: 1000.20 GB","sdk, Product: SEAGATE ST31000340NS, Serial: 9QJ428QZ, Size: 1000.20 GB","sdi, Product: SEAGATE ST31000340NS, Serial: 9QJ420J4, Size: 1000.20 GB","sdc, Product: SEAGATE ST31000340NS, Serial: 9QJ42N78, Size: 1000.20 GB","sdd, Product: SEAGATE ST31000340NS, Serial: 9QJ42NW7, Size: 1000.20 GB","sda, Product: SEAGATE ST31000340NS, Serial: 9QJ42N7V, Size: 1000.20 GB","sdm, Product: Hitachi HUA721010KLA330, Serial: GTA060PBK0ZZ0F, Size: 1000.20 GB",,,,,"Vendor: ASPEED Technology, Inc., Product: ASPEED Graphics Family",,,9,2,Pass,Pass,Pass,Pass,Pass,Xyratex,Storage Server,MBC0944037G3859,0,0,0,0,0,1,Randy Prashad,Username,9999999991,Asset Number,Tangoe,Lot Name,17473,Lot Number,Parts_Hard Drive 3.5,\"Product\",,,,,,,,,,,"Tuesday, 03 Dec 2019 at 18:02:31","Wednesday, 04 Dec 2019 at 03:42:13",0,Department of Defense 5220.22-M - 3 Pass,,WipeDrive Enterprise 9.1.3 64-bit,39FB39DA-A64A-405D-BD98-2348AC01422D,29B37602-334F-4B38-A4B1-44C8955E6501,Undefined,0,0,0,0,0,1953525168,0,197120,0,Unknown,0,0,0
Unavailable,4.14.65-gentoo,,04-12-2019 09:56,7,Seagate,SEAGATE ST31000340NS,9QJ428QZ,1000204.89 MB,Success,13:10:08,ITAMG,Overwrite,3,0,0,Xyratex,HS-1235T-ATX,"Intel(R) Xeon(R) CPU           E5620  @ 2.40GHz, Speed: 2400 MHz, Cores: 4, L1 Cache: 256 kB, L2 Cache: 1024 kB",,,,"24576 MB, Memory banks: 3, Other DIMM","Vendor: Intel Corporation, Product: 82574L Gigabit Network Connection, MAC Address: 00:50:cc:6b:02:d8","Vendor: Intel Corporation, Product: 82574L Gigabit Network Connection, MAC Address: 00:50:cc:6b:02:d9","Vendor: Unavailable, Product: Unavailable, MAC Address: 00:e0:4c:68:89:5b",,Device-CD#0,,,,"sdl, Product: SEAGATE ST31000340NS, Serial: 9QJ42C6V, Size: 1000.20 GB","sdn, Product: SEAGATE ST31000340NS, Serial: 9QJ420NP, Size: 1000.20 GB","sdg, Product: SEAGATE ST31000340NS, Serial: 9QJ41NNP, Size: 1000.20 GB","sdb, Product: SEAGATE ST31000340NS, Serial: 9QJ42NCE, Size: 1000.20 GB","sdj, Product: SEAGATE ST31000340NS, Serial: 9QJ42V88, Size: 1000.20 GB","sdh, Product: SEAGATE ST31000340NS, Serial: 9QJ426A7, Size: 1000.20 GB","sdk, Product: SEAGATE ST31000340NS, Serial: 9QJ428QZ, Size: 1000.20 GB","sdi, Product: SEAGATE ST31000340NS, Serial: 9QJ420J4, Size: 1000.20 GB","sdc, Product: SEAGATE ST31000340NS, Serial: 9QJ42N78, Size: 1000.20 GB","sdd, Product: SEAGATE ST31000340NS, Serial: 9QJ42NW7, Size: 1000.20 GB","sda, Product: SEAGATE ST31000340NS, Serial: 9QJ42N7V, Size: 1000.20 GB","sdm, Product: Hitachi HUA721010KLA330, Serial: GTA060PBK0ZZ0F, Size: 1000.20 GB",,,,,"Vendor: ASPEED Technology, Inc., Product: ASPEED Graphics Family",,,9,2,Pass,Pass,Pass,Pass,Pass,Xyratex,Storage Server,MBC0944037G3859,0,0,0,0,0,1,Randy Prashad,Username,9999999991,Asset Number,Tangoe,Lot Name,17473,Lot Number,Parts_Hard Drive 3.5,\"Product\",,,,,,,,,,,"Tuesday, 03 Dec 2019 at 18:02:31","Wednesday, 04 Dec 2019 at 07:12:39",0,Department of Defense 5220.22-M - 3 Pass,,WipeDrive Enterprise 9.1.3 64-bit,5CA4E382-CA9A-4656-BEF0-6985319CF40D,29B37602-334F-4B38-A4B1-44C8955E6501,Undefined,0,0,0,0,0,1953525168,0,1953525168,0,Clear,0,0,0
Unavailable,4.14.65-gentoo,,04-12-2019 09:56,8,Seagate,SEAGATE ST31000340NS,9QJ420J4,1000204.89 MB,Success,12:29:53,ITAMG,Overwrite,3,0,0,Xyratex,HS-1235T-ATX,"Intel(R) Xeon(R) CPU           E5620  @ 2.40GHz, Speed: 2400 MHz, Cores: 4, L1 Cache: 256 kB, L2 Cache: 1024 kB",,,,"24576 MB, Memory banks: 3, Other DIMM","Vendor: Intel Corporation, Product: 82574L Gigabit Network Connection, MAC Address: 00:50:cc:6b:02:d8","Vendor: Intel Corporation, Product: 82574L Gigabit Network Connection, MAC Address: 00:50:cc:6b:02:d9","Vendor: Unavailable, Product: Unavailable, MAC Address: 00:e0:4c:68:89:5b",,Device-CD#0,,,,"sdl, Product: SEAGATE ST31000340NS, Serial: 9QJ42C6V, Size: 1000.20 GB","sdn, Product: SEAGATE ST31000340NS, Serial: 9QJ420NP, Size: 1000.20 GB","sdg, Product: SEAGATE ST31000340NS, Serial: 9QJ41NNP, Size: 1000.20 GB","sdb, Product: SEAGATE ST31000340NS, Serial: 9QJ42NCE, Size: 1000.20 GB","sdj, Product: SEAGATE ST31000340NS, Serial: 9QJ42V88, Size: 1000.20 GB","sdh, Product: SEAGATE ST31000340NS, Serial: 9QJ426A7, Size: 1000.20 GB","sdk, Product: SEAGATE ST31000340NS, Serial: 9QJ428QZ, Size: 1000.20 GB","sdi, Product: SEAGATE ST31000340NS, Serial: 9QJ420J4, Size: 1000.20 GB","sdc, Product: SEAGATE ST31000340NS, Serial: 9QJ42N78, Size: 1000.20 GB","sdd, Product: SEAGATE ST31000340NS, Serial: 9QJ42NW7, Size: 1000.20 GB","sda, Product: SEAGATE ST31000340NS, Serial: 9QJ42N7V, Size: 1000.20 GB","sdm, Product: Hitachi HUA721010KLA330, Serial: GTA060PBK0ZZ0F, Size: 1000.20 GB",,,,,"Vendor: ASPEED Technology, Inc., Product: ASPEED Graphics Family",,,9,2,Pass,Pass,Pass,Pass,Pass,Xyratex,Storage Server,MBC0944037G3859,0,0,0,0,0,1,Randy Prashad,Username,9999999991,Asset Number,Tangoe,Lot Name,17473,Lot Number,Parts_Hard Drive 3.5,\"Product\",,,,,,,,,,,"Tuesday, 03 Dec 2019 at 18:02:31","Wednesday, 04 Dec 2019 at 06:32:24",0,Department of Defense 5220.22-M - 3 Pass,,WipeDrive Enterprise 9.1.3 64-bit,038DBEE8-2F85-4557-B3FC-87689F4C224D,29B37602-334F-4B38-A4B1-44C8955E6501,Undefined,0,0,0,0,0,1953525168,0,1953525168,0,Clear,0,0,0
Unavailable,4.14.65-gentoo,,04-12-2019 09:56,9,Seagate,SEAGATE ST31000340NS,9QJ42N78,1000204.89 MB,Success,12:38:52,ITAMG,Overwrite,3,0,0,Xyratex,HS-1235T-ATX,"Intel(R) Xeon(R) CPU           E5620  @ 2.40GHz, Speed: 2400 MHz, Cores: 4, L1 Cache: 256 kB, L2 Cache: 1024 kB",,,,"24576 MB, Memory banks: 3, Other DIMM","Vendor: Intel Corporation, Product: 82574L Gigabit Network Connection, MAC Address: 00:50:cc:6b:02:d8","Vendor: Intel Corporation, Product: 82574L Gigabit Network Connection, MAC Address: 00:50:cc:6b:02:d9","Vendor: Unavailable, Product: Unavailable, MAC Address: 00:e0:4c:68:89:5b",,Device-CD#0,,,,"sdl, Product: SEAGATE ST31000340NS, Serial: 9QJ42C6V, Size: 1000.20 GB","sdn, Product: SEAGATE ST31000340NS, Serial: 9QJ420NP, Size: 1000.20 GB","sdg, Product: SEAGATE ST31000340NS, Serial: 9QJ41NNP, Size: 1000.20 GB","sdb, Product: SEAGATE ST31000340NS, Serial: 9QJ42NCE, Size: 1000.20 GB","sdj, Product: SEAGATE ST31000340NS, Serial: 9QJ42V88, Size: 1000.20 GB","sdh, Product: SEAGATE ST31000340NS, Serial: 9QJ426A7, Size: 1000.20 GB","sdk, Product: SEAGATE ST31000340NS, Serial: 9QJ428QZ, Size: 1000.20 GB","sdi, Product: SEAGATE ST31000340NS, Serial: 9QJ420J4, Size: 1000.20 GB","sdc, Product: SEAGATE ST31000340NS, Serial: 9QJ42N78, Size: 1000.20 GB","sdd, Product: SEAGATE ST31000340NS, Serial: 9QJ42NW7, Size: 1000.20 GB","sda, Product: SEAGATE ST31000340NS, Serial: 9QJ42N7V, Size: 1000.20 GB","sdm, Product: Hitachi HUA721010KLA330, Serial: GTA060PBK0ZZ0F, Size: 1000.20 GB",,,,,"Vendor: ASPEED Technology, Inc., Product: ASPEED Graphics Family",,,9,2,Pass,Pass,Pass,Pass,Pass,Xyratex,Storage Server,MBC0944037G3859,0,0,0,0,0,1,Randy Prashad,Username,9999999991,Asset Number,Tangoe,Lot Name,17473,Lot Number,Parts_Hard Drive 3.5,\"Product\",,,,,,,,,,,"Tuesday, 03 Dec 2019 at 18:02:31","Wednesday, 04 Dec 2019 at 06:41:23",0,Department of Defense 5220.22-M - 3 Pass,,WipeDrive Enterprise 9.1.3 64-bit,F08A9B03-F0A4-4B47-A898-02DF5926086A,29B37602-334F-4B38-A4B1-44C8955E6501,Undefined,0,0,0,0,0,1953525168,0,1953525168,0,Clear,0,0,0
Unavailable,4.14.65-gentoo,,04-12-2019 09:56,10,Seagate,SEAGATE ST31000340NS,9QJ42NW7,1000204.89 MB,Failure,09:35:09,ITAMG,Overwrite,3,1,0,Xyratex,HS-1235T-ATX,"Intel(R) Xeon(R) CPU           E5620  @ 2.40GHz, Speed: 2400 MHz, Cores: 4, L1 Cache: 256 kB, L2 Cache: 1024 kB",,,,"24576 MB, Memory banks: 3, Other DIMM","Vendor: Intel Corporation, Product: 82574L Gigabit Network Connection, MAC Address: 00:50:cc:6b:02:d8","Vendor: Intel Corporation, Product: 82574L Gigabit Network Connection, MAC Address: 00:50:cc:6b:02:d9","Vendor: Unavailable, Product: Unavailable, MAC Address: 00:e0:4c:68:89:5b",,Device-CD#0,,,,"sdl, Product: SEAGATE ST31000340NS, Serial: 9QJ42C6V, Size: 1000.20 GB","sdn, Product: SEAGATE ST31000340NS, Serial: 9QJ420NP, Size: 1000.20 GB","sdg, Product: SEAGATE ST31000340NS, Serial: 9QJ41NNP, Size: 1000.20 GB","sdb, Product: SEAGATE ST31000340NS, Serial: 9QJ42NCE, Size: 1000.20 GB","sdj, Product: SEAGATE ST31000340NS, Serial: 9QJ42V88, Size: 1000.20 GB","sdh, Product: SEAGATE ST31000340NS, Serial: 9QJ426A7, Size: 1000.20 GB","sdk, Product: SEAGATE ST31000340NS, Serial: 9QJ428QZ, Size: 1000.20 GB","sdi, Product: SEAGATE ST31000340NS, Serial: 9QJ420J4, Size: 1000.20 GB","sdc, Product: SEAGATE ST31000340NS, Serial: 9QJ42N78, Size: 1000.20 GB","sdd, Product: SEAGATE ST31000340NS, Serial: 9QJ42NW7, Size: 1000.20 GB","sda, Product: SEAGATE ST31000340NS, Serial: 9QJ42N7V, Size: 1000.20 GB","sdm, Product: Hitachi HUA721010KLA330, Serial: GTA060PBK0ZZ0F, Size: 1000.20 GB",,,,,"Vendor: ASPEED Technology, Inc., Product: ASPEED Graphics Family",,,9,2,Pass,Pass,Pass,Pass,Pass,Xyratex,Storage Server,MBC0944037G3859,0,0,0,0,0,0,Randy Prashad,Username,9999999991,Asset Number,Tangoe,Lot Name,17473,Lot Number,Parts_Hard Drive 3.5,\"Product\",,,,,,,,,,,"Tuesday, 03 Dec 2019 at 18:02:31","Wednesday, 04 Dec 2019 at 03:37:40",0,Department of Defense 5220.22-M - 3 Pass,,WipeDrive Enterprise 9.1.3 64-bit,866BD977-3841-43D2-9494-E29C5BE184FB,29B37602-334F-4B38-A4B1-44C8955E6501,Undefined,0,0,0,0,0,1953525168,0,2560,0,Unknown,0,0,0
