Computer ID,Kernel Version,Custom field,Date/Time,Drive #,Vendor,Drive Model,Drive Serial,Drive Size,Action Result,Action Duration,User name,Action,Number of wipes,Drive Errors,Dirty Sectors,Motherboard Vendor,Motherboard Product,CPU 1,CPU 2,CPU 3,CPU 4,RAM,NIC 1,NIC 2,NIC 3,NIC 4,Optical Drive 1,Optical Drive 2,Optical Drive 3,Optical Drive 4,Hard Drive 1,Hard Drive 2,Hard Drive 3,Hard Drive 4,Hard Drive 5,Hard Drive 6,Hard Drive 7,Hard Drive 8,Hard Drive 9,Hard Drive 10,Hard Drive 11,Hard Drive 12,Hard Drive 13,Hard Drive 14,Hard Drive 15,Hard Drive 16,Video Card 1,Video Card 2,Multimedia Card 1,USB1 Ports,USB2 Ports,Motherboard Test,Processor Test,Memory Test,Display Test,Keyboard Test,Computer Vendor,Computer Model,Computer Serial,HPA Detected,HPA Removed,DCO Detected,DCO Removed,Secure Erase Passes,Secure Erase Enhanced Passes,user1,user1-name,user2,user2-name,user3,user3-name,user4,user4-name,user5-values,user5-name,user6,user6-name,user7,user7-name,user8,user8-name,user9,user9-name,user10,user10-name,Action Start Time,Action End Time,USB3 Ports,Wipe Pattern,SSD whitelist support level,Software Used,UUID,Job UUID,Pre-wipe test result,Pre-wipe test duration(seconds),Pre-wipe test sectors read,Sanitize Crypto Erase Passes,Sanitize Block Erase Passes,Sanitize Overwrite Passes,Sectors Overwritten,Sectors Not Overwritten,Sectors Verified,DCO-Locked,NIST Method Type,AMAX Detected,AMAX Removed,OPAL Crypto Erase Passes
Unavailable,4.14.65-gentoo,,04-12-2019 17:53,1,Seagate,SEAGATE ST3500320NS,9QMCMEP1,500107.86 MB,Failure,04:38:55,ITAMG,Overwrite,3,1,0,Xyratex,HS-1235T-ATX,"Intel(R) Xeon(R) CPU           E5620  @ 2.40GHz, Speed: 2400 MHz, Cores: 4, L1 Cache: 256 kB, L2 Cache: 1024 kB",,,,"24576 MB, Memory banks: 3, Other DIMM","Vendor: Intel Corporation, Product: 82574L Gigabit Network Connection, MAC Address: 00:50:cc:6a:33:e2","Vendor: Intel Corporation, Product: 82574L Gigabit Network Connection, MAC Address: 00:50:cc:6a:33:e3","Vendor: Unavailable, Product: Unavailable, MAC Address: 00:e0:4c:68:89:5b",,Device-CD#0,,,,"sdj, Product: SEAGATE ST3500320NS, Serial: 9QMCMEP1, Size: 500.11 GB","sda, Product: SEAGATE ST3500320NS, Serial: 9QMCKMHS, Size: 500.11 GB","sdb, Product: SEAGATE ST31000340NS, Serial: 9QJ42N62, Size: 1000.20 GB","sdc, Product: SEAGATE ST31000340NS, Serial: 9QJ41GAY, Size: 1000.20 GB","sdd, Product: SEAGATE ST31000340NS, Serial: 9QJ42NJ5, Size: 1000.20 GB","sdi, Product: SEAGATE ST3500320NS, Serial: 9QMCMJM9, Size: 500.11 GB","sdg, Product: SEAGATE ST31000340NS, Serial: 9QJ41GK8, Size: 1000.20 GB","sdk, Product: Hitachi HUA722050CLA330, Serial: JPW9K0N11XJD7L, Size: 500.11 GB","sdl, Product: Hitachi HUA722050CLA330, Serial: JPW9K0N120501L, Size: 500.11 GB","sdh, Product: Hitachi HUA722050CLA330, Serial: JPW9K0N11XRNBL, Size: 500.11 GB",,,,,,,"Vendor: ASPEED Technology, Inc., Product: ASPEED Graphics Family",,,9,2,Pass,Pass,Pass,Pass,Pass,Xyratex,Storage Server,MBP0944037G284B,0,0,0,0,0,1,Randy Prashad,Username,9999999992,Asset Number,Tangoe,Lot Name,17473,Lot Number,Parts_Hard Drive 3.5,\"Product\",,,,,,,,,,,"Wednesday, 04 Dec 2019 at 04:54:59","Wednesday, 04 Dec 2019 at 09:33:54",0,Department of Defense 5220.22-M - 3 Pass,,WipeDrive Enterprise 9.1.3 64-bit,1B71979D-B750-4F3B-875B-3BFEF6048777,232EE41E-EBD4-4A43-90C6-180236474F85,Undefined,0,0,0,0,0,976773168,0,210432,0,Unknown,0,0,0
Unavailable,4.14.65-gentoo,,04-12-2019 17:53,2,Seagate,SEAGATE ST3500320NS,9QMCKMHS,500107.86 MB,Failure,06:00:58,ITAMG,Overwrite,3,1,0,Xyratex,HS-1235T-ATX,"Intel(R) Xeon(R) CPU           E5620  @ 2.40GHz, Speed: 2400 MHz, Cores: 4, L1 Cache: 256 kB, L2 Cache: 1024 kB",,,,"24576 MB, Memory banks: 3, Other DIMM","Vendor: Intel Corporation, Product: 82574L Gigabit Network Connection, MAC Address: 00:50:cc:6a:33:e2","Vendor: Intel Corporation, Product: 82574L Gigabit Network Connection, MAC Address: 00:50:cc:6a:33:e3","Vendor: Unavailable, Product: Unavailable, MAC Address: 00:e0:4c:68:89:5b",,Device-CD#0,,,,"sdj, Product: SEAGATE ST3500320NS, Serial: 9QMCMEP1, Size: 500.11 GB","sda, Product: SEAGATE ST3500320NS, Serial: 9QMCKMHS, Size: 500.11 GB","sdb, Product: SEAGATE ST31000340NS, Serial: 9QJ42N62, Size: 1000.20 GB","sdc, Product: SEAGATE ST31000340NS, Serial: 9QJ41GAY, Size: 1000.20 GB","sdd, Product: SEAGATE ST31000340NS, Serial: 9QJ42NJ5, Size: 1000.20 GB","sdi, Product: SEAGATE ST3500320NS, Serial: 9QMCMJM9, Size: 500.11 GB","sdg, Product: SEAGATE ST31000340NS, Serial: 9QJ41GK8, Size: 1000.20 GB","sdk, Product: Hitachi HUA722050CLA330, Serial: JPW9K0N11XJD7L, Size: 500.11 GB","sdl, Product: Hitachi HUA722050CLA330, Serial: JPW9K0N120501L, Size: 500.11 GB","sdh, Product: Hitachi HUA722050CLA330, Serial: JPW9K0N11XRNBL, Size: 500.11 GB",,,,,,,"Vendor: ASPEED Technology, Inc., Product: ASPEED Graphics Family",,,9,2,Pass,Pass,Pass,Pass,Pass,Xyratex,Storage Server,MBP0944037G284B,0,0,0,0,0,1,Randy Prashad,Username,9999999992,Asset Number,Tangoe,Lot Name,17473,Lot Number,Parts_Hard Drive 3.5,\"Product\",,,,,,,,,,,"Wednesday, 04 Dec 2019 at 04:54:59","Wednesday, 04 Dec 2019 at 10:55:57",0,Department of Defense 5220.22-M - 3 Pass,,WipeDrive Enterprise 9.1.3 64-bit,759C4B90-D892-40FA-8B9F-E83349A4A1A0,232EE41E-EBD4-4A43-90C6-180236474F85,Undefined,0,0,0,0,0,976773168,0,875366400,0,Unknown,0,0,0
Unavailable,4.14.65-gentoo,,04-12-2019 17:53,3,Seagate,SEAGATE ST31000340NS,9QJ42N62,1000204.89 MB,Success,12:24:28,ITAMG,Overwrite,3,0,0,Xyratex,HS-1235T-ATX,"Intel(R) Xeon(R) CPU           E5620  @ 2.40GHz, Speed: 2400 MHz, Cores: 4, L1 Cache: 256 kB, L2 Cache: 1024 kB",,,,"24576 MB, Memory banks: 3, Other DIMM","Vendor: Intel Corporation, Product: 82574L Gigabit Network Connection, MAC Address: 00:50:cc:6a:33:e2","Vendor: Intel Corporation, Product: 82574L Gigabit Network Connection, MAC Address: 00:50:cc:6a:33:e3","Vendor: Unavailable, Product: Unavailable, MAC Address: 00:e0:4c:68:89:5b",,Device-CD#0,,,,"sdj, Product: SEAGATE ST3500320NS, Serial: 9QMCMEP1, Size: 500.11 GB","sda, Product: SEAGATE ST3500320NS, Serial: 9QMCKMHS, Size: 500.11 GB","sdb, Product: SEAGATE ST31000340NS, Serial: 9QJ42N62, Size: 1000.20 GB","sdc, Product: SEAGATE ST31000340NS, Serial: 9QJ41GAY, Size: 1000.20 GB","sdd, Product: SEAGATE ST31000340NS, Serial: 9QJ42NJ5, Size: 1000.20 GB","sdi, Product: SEAGATE ST3500320NS, Serial: 9QMCMJM9, Size: 500.11 GB","sdg, Product: SEAGATE ST31000340NS, Serial: 9QJ41GK8, Size: 1000.20 GB","sdk, Product: Hitachi HUA722050CLA330, Serial: JPW9K0N11XJD7L, Size: 500.11 GB","sdl, Product: Hitachi HUA722050CLA330, Serial: JPW9K0N120501L, Size: 500.11 GB","sdh, Product: Hitachi HUA722050CLA330, Serial: JPW9K0N11XRNBL, Size: 500.11 GB",,,,,,,"Vendor: ASPEED Technology, Inc., Product: ASPEED Graphics Family",,,9,2,Pass,Pass,Pass,Pass,Pass,Xyratex,Storage Server,MBP0944037G284B,0,0,0,0,0,1,Randy Prashad,Username,9999999992,Asset Number,Tangoe,Lot Name,17473,Lot Number,Parts_Hard Drive 3.5,\"Product\",,,,,,,,,,,"Wednesday, 04 Dec 2019 at 04:54:59","Wednesday, 04 Dec 2019 at 17:19:27",0,Department of Defense 5220.22-M - 3 Pass,,WipeDrive Enterprise 9.1.3 64-bit,905909EA-B2E7-4D1E-AC66-331ED4DE3EF5,232EE41E-EBD4-4A43-90C6-180236474F85,Undefined,0,0,0,0,0,1953525168,0,1953525168,0,Clear,0,0,0
Unavailable,4.14.65-gentoo,,04-12-2019 17:53,4,Seagate,SEAGATE ST31000340NS,9QJ41GAY,1000204.89 MB,Success,12:58:01,ITAMG,Overwrite,3,0,0,Xyratex,HS-1235T-ATX,"Intel(R) Xeon(R) CPU           E5620  @ 2.40GHz, Speed: 2400 MHz, Cores: 4, L1 Cache: 256 kB, L2 Cache: 1024 kB",,,,"24576 MB, Memory banks: 3, Other DIMM","Vendor: Intel Corporation, Product: 82574L Gigabit Network Connection, MAC Address: 00:50:cc:6a:33:e2","Vendor: Intel Corporation, Product: 82574L Gigabit Network Connection, MAC Address: 00:50:cc:6a:33:e3","Vendor: Unavailable, Product: Unavailable, MAC Address: 00:e0:4c:68:89:5b",,Device-CD#0,,,,"sdj, Product: SEAGATE ST3500320NS, Serial: 9QMCMEP1, Size: 500.11 GB","sda, Product: SEAGATE ST3500320NS, Serial: 9QMCKMHS, Size: 500.11 GB","sdb, Product: SEAGATE ST31000340NS, Serial: 9QJ42N62, Size: 1000.20 GB","sdc, Product: SEAGATE ST31000340NS, Serial: 9QJ41GAY, Size: 1000.20 GB","sdd, Product: SEAGATE ST31000340NS, Serial: 9QJ42NJ5, Size: 1000.20 GB","sdi, Product: SEAGATE ST3500320NS, Serial: 9QMCMJM9, Size: 500.11 GB","sdg, Product: SEAGATE ST31000340NS, Serial: 9QJ41GK8, Size: 1000.20 GB","sdk, Product: Hitachi HUA722050CLA330, Serial: JPW9K0N11XJD7L, Size: 500.11 GB","sdl, Product: Hitachi HUA722050CLA330, Serial: JPW9K0N120501L, Size: 500.11 GB","sdh, Product: Hitachi HUA722050CLA330, Serial: JPW9K0N11XRNBL, Size: 500.11 GB",,,,,,,"Vendor: ASPEED Technology, Inc., Product: ASPEED Graphics Family",,,9,2,Pass,Pass,Pass,Pass,Pass,Xyratex,Storage Server,MBP0944037G284B,0,0,0,0,0,1,Randy Prashad,Username,9999999992,Asset Number,Tangoe,Lot Name,17473,Lot Number,Parts_Hard Drive 3.5,\"Product\",,,,,,,,,,,"Wednesday, 04 Dec 2019 at 04:55:00","Wednesday, 04 Dec 2019 at 17:53:01",0,Department of Defense 5220.22-M - 3 Pass,,WipeDrive Enterprise 9.1.3 64-bit,E932D35C-0E2F-437B-8F40-BB2A4D62CE3E,232EE41E-EBD4-4A43-90C6-180236474F85,Undefined,0,0,0,0,0,1953525168,0,1953525168,0,Clear,0,0,0
Unavailable,4.14.65-gentoo,,04-12-2019 17:53,5,Seagate,SEAGATE ST31000340NS,9QJ42NJ5,1000204.89 MB,Failure,09:45:15,ITAMG,Overwrite,3,1,0,Xyratex,HS-1235T-ATX,"Intel(R) Xeon(R) CPU           E5620  @ 2.40GHz, Speed: 2400 MHz, Cores: 4, L1 Cache: 256 kB, L2 Cache: 1024 kB",,,,"24576 MB, Memory banks: 3, Other DIMM","Vendor: Intel Corporation, Product: 82574L Gigabit Network Connection, MAC Address: 00:50:cc:6a:33:e2","Vendor: Intel Corporation, Product: 82574L Gigabit Network Connection, MAC Address: 00:50:cc:6a:33:e3","Vendor: Unavailable, Product: Unavailable, MAC Address: 00:e0:4c:68:89:5b",,Device-CD#0,,,,"sdj, Product: SEAGATE ST3500320NS, Serial: 9QMCMEP1, Size: 500.11 GB","sda, Product: SEAGATE ST3500320NS, Serial: 9QMCKMHS, Size: 500.11 GB","sdb, Product: SEAGATE ST31000340NS, Serial: 9QJ42N62, Size: 1000.20 GB","sdc, Product: SEAGATE ST31000340NS, Serial: 9QJ41GAY, Size: 1000.20 GB","sdd, Product: SEAGATE ST31000340NS, Serial: 9QJ42NJ5, Size: 1000.20 GB","sdi, Product: SEAGATE ST3500320NS, Serial: 9QMCMJM9, Size: 500.11 GB","sdg, Product: SEAGATE ST31000340NS, Serial: 9QJ41GK8, Size: 1000.20 GB","sdk, Product: Hitachi HUA722050CLA330, Serial: JPW9K0N11XJD7L, Size: 500.11 GB","sdl, Product: Hitachi HUA722050CLA330, Serial: JPW9K0N120501L, Size: 500.11 GB","sdh, Product: Hitachi HUA722050CLA330, Serial: JPW9K0N11XRNBL, Size: 500.11 GB",,,,,,,"Vendor: ASPEED Technology, Inc., Product: ASPEED Graphics Family",,,9,2,Pass,Pass,Pass,Pass,Pass,Xyratex,Storage Server,MBP0944037G284B,0,0,0,0,0,1,Randy Prashad,Username,9999999992,Asset Number,Tangoe,Lot Name,17473,Lot Number,Parts_Hard Drive 3.5,\"Product\",,,,,,,,,,,"Wednesday, 04 Dec 2019 at 04:54:59","Wednesday, 04 Dec 2019 at 14:40:14",0,Department of Defense 5220.22-M - 3 Pass,,WipeDrive Enterprise 9.1.3 64-bit,B3750A87-4B28-4376-8D83-1AEC63834F3B,232EE41E-EBD4-4A43-90C6-180236474F85,Undefined,0,0,0,0,0,1953525168,0,2560,0,Unknown,0,0,0
Unavailable,4.14.65-gentoo,,04-12-2019 17:53,6,Seagate,SEAGATE ST3500320NS,9QMCMJM9,500107.86 MB,Failure,04:51:46,ITAMG,Overwrite,3,1,0,Xyratex,HS-1235T-ATX,"Intel(R) Xeon(R) CPU           E5620  @ 2.40GHz, Speed: 2400 MHz, Cores: 4, L1 Cache: 256 kB, L2 Cache: 1024 kB",,,,"24576 MB, Memory banks: 3, Other DIMM","Vendor: Intel Corporation, Product: 82574L Gigabit Network Connection, MAC Address: 00:50:cc:6a:33:e2","Vendor: Intel Corporation, Product: 82574L Gigabit Network Connection, MAC Address: 00:50:cc:6a:33:e3","Vendor: Unavailable, Product: Unavailable, MAC Address: 00:e0:4c:68:89:5b",,Device-CD#0,,,,"sdj, Product: SEAGATE ST3500320NS, Serial: 9QMCMEP1, Size: 500.11 GB","sda, Product: SEAGATE ST3500320NS, Serial: 9QMCKMHS, Size: 500.11 GB","sdb, Product: SEAGATE ST31000340NS, Serial: 9QJ42N62, Size: 1000.20 GB","sdc, Product: SEAGATE ST31000340NS, Serial: 9QJ41GAY, Size: 1000.20 GB","sdd, Product: SEAGATE ST31000340NS, Serial: 9QJ42NJ5, Size: 1000.20 GB","sdi, Product: SEAGATE ST3500320NS, Serial: 9QMCMJM9, Size: 500.11 GB","sdg, Product: SEAGATE ST31000340NS, Serial: 9QJ41GK8, Size: 1000.20 GB","sdk, Product: Hitachi HUA722050CLA330, Serial: JPW9K0N11XJD7L, Size: 500.11 GB","sdl, Product: Hitachi HUA722050CLA330, Serial: JPW9K0N120501L, Size: 500.11 GB","sdh, Product: Hitachi HUA722050CLA330, Serial: JPW9K0N11XRNBL, Size: 500.11 GB",,,,,,,"Vendor: ASPEED Technology, Inc., Product: ASPEED Graphics Family",,,9,2,Pass,Pass,Pass,Pass,Pass,Xyratex,Storage Server,MBP0944037G284B,0,0,0,0,0,1,Randy Prashad,Username,9999999992,Asset Number,Tangoe,Lot Name,17473,Lot Number,Parts_Hard Drive 3.5,\"Product\",,,,,,,,,,,"Wednesday, 04 Dec 2019 at 04:54:59","Wednesday, 04 Dec 2019 at 09:46:45",0,Department of Defense 5220.22-M - 3 Pass,,WipeDrive Enterprise 9.1.3 64-bit,D2465C09-258B-4D79-BF78-4A50A559442D,232EE41E-EBD4-4A43-90C6-180236474F85,Undefined,0,0,0,0,0,976773168,0,82274816,0,Unknown,0,0,0
Unavailable,4.14.65-gentoo,,04-12-2019 17:53,7,Seagate,SEAGATE ST31000340NS,9QJ41GK8,1000204.89 MB,Success,12:51:03,ITAMG,Overwrite,3,0,0,Xyratex,HS-1235T-ATX,"Intel(R) Xeon(R) CPU           E5620  @ 2.40GHz, Speed: 2400 MHz, Cores: 4, L1 Cache: 256 kB, L2 Cache: 1024 kB",,,,"24576 MB, Memory banks: 3, Other DIMM","Vendor: Intel Corporation, Product: 82574L Gigabit Network Connection, MAC Address: 00:50:cc:6a:33:e2","Vendor: Intel Corporation, Product: 82574L Gigabit Network Connection, MAC Address: 00:50:cc:6a:33:e3","Vendor: Unavailable, Product: Unavailable, MAC Address: 00:e0:4c:68:89:5b",,Device-CD#0,,,,"sdj, Product: SEAGATE ST3500320NS, Serial: 9QMCMEP1, Size: 500.11 GB","sda, Product: SEAGATE ST3500320NS, Serial: 9QMCKMHS, Size: 500.11 GB","sdb, Product: SEAGATE ST31000340NS, Serial: 9QJ42N62, Size: 1000.20 GB","sdc, Product: SEAGATE ST31000340NS, Serial: 9QJ41GAY, Size: 1000.20 GB","sdd, Product: SEAGATE ST31000340NS, Serial: 9QJ42NJ5, Size: 1000.20 GB","sdi, Product: SEAGATE ST3500320NS, Serial: 9QMCMJM9, Size: 500.11 GB","sdg, Product: SEAGATE ST31000340NS, Serial: 9QJ41GK8, Size: 1000.20 GB","sdk, Product: Hitachi HUA722050CLA330, Serial: JPW9K0N11XJD7L, Size: 500.11 GB","sdl, Product: Hitachi HUA722050CLA330, Serial: JPW9K0N120501L, Size: 500.11 GB","sdh, Product: Hitachi HUA722050CLA330, Serial: JPW9K0N11XRNBL, Size: 500.11 GB",,,,,,,"Vendor: ASPEED Technology, Inc., Product: ASPEED Graphics Family",,,9,2,Pass,Pass,Pass,Pass,Pass,Xyratex,Storage Server,MBP0944037G284B,0,0,0,0,0,1,Randy Prashad,Username,9999999992,Asset Number,Tangoe,Lot Name,17473,Lot Number,Parts_Hard Drive 3.5,\"Product\",,,,,,,,,,,"Wednesday, 04 Dec 2019 at 04:54:59","Wednesday, 04 Dec 2019 at 17:46:02",0,Department of Defense 5220.22-M - 3 Pass,,WipeDrive Enterprise 9.1.3 64-bit,5C176AAF-4EC4-4C69-9BD3-5F5E5EBA75CC,232EE41E-EBD4-4A43-90C6-180236474F85,Undefined,0,0,0,0,0,1953525168,0,1953525168,0,Clear,0,0,0
Unavailable,4.14.65-gentoo,,04-12-2019 17:53,8,Hitachi,Hitachi HUA722050CLA330,JPW9K0N11XJD7L,500107.86 MB,Success,05:35:42,ITAMG,Overwrite,3,0,0,Xyratex,HS-1235T-ATX,"Intel(R) Xeon(R) CPU           E5620  @ 2.40GHz, Speed: 2400 MHz, Cores: 4, L1 Cache: 256 kB, L2 Cache: 1024 kB",,,,"24576 MB, Memory banks: 3, Other DIMM","Vendor: Intel Corporation, Product: 82574L Gigabit Network Connection, MAC Address: 00:50:cc:6a:33:e2","Vendor: Intel Corporation, Product: 82574L Gigabit Network Connection, MAC Address: 00:50:cc:6a:33:e3","Vendor: Unavailable, Product: Unavailable, MAC Address: 00:e0:4c:68:89:5b",,Device-CD#0,,,,"sdj, Product: SEAGATE ST3500320NS, Serial: 9QMCMEP1, Size: 500.11 GB","sda, Product: SEAGATE ST3500320NS, Serial: 9QMCKMHS, Size: 500.11 GB","sdb, Product: SEAGATE ST31000340NS, Serial: 9QJ42N62, Size: 1000.20 GB","sdc, Product: SEAGATE ST31000340NS, Serial: 9QJ41GAY, Size: 1000.20 GB","sdd, Product: SEAGATE ST31000340NS, Serial: 9QJ42NJ5, Size: 1000.20 GB","sdi, Product: SEAGATE ST3500320NS, Serial: 9QMCMJM9, Size: 500.11 GB","sdg, Product: SEAGATE ST31000340NS, Serial: 9QJ41GK8, Size: 1000.20 GB","sdk, Product: Hitachi HUA722050CLA330, Serial: JPW9K0N11XJD7L, Size: 500.11 GB","sdl, Product: Hitachi HUA722050CLA330, Serial: JPW9K0N120501L, Size: 500.11 GB","sdh, Product: Hitachi HUA722050CLA330, Serial: JPW9K0N11XRNBL, Size: 500.11 GB",,,,,,,"Vendor: ASPEED Technology, Inc., Product: ASPEED Graphics Family",,,9,2,Pass,Pass,Pass,Pass,Pass,Xyratex,Storage Server,MBP0944037G284B,0,0,0,0,0,0,Randy Prashad,Username,9999999992,Asset Number,Tangoe,Lot Name,17473,Lot Number,Parts_Hard Drive 3.5,\"Product\",,,,,,,,,,,"Wednesday, 04 Dec 2019 at 04:55:01","Wednesday, 04 Dec 2019 at 10:30:43",0,Department of Defense 5220.22-M - 3 Pass,,WipeDrive Enterprise 9.1.3 64-bit,251AC093-8C04-42CA-8FEE-40BDD3F00DCB,232EE41E-EBD4-4A43-90C6-180236474F85,Undefined,0,0,0,0,0,976773168,0,976773168,0,Clear,0,0,0
Unavailable,4.14.65-gentoo,,04-12-2019 17:53,9,Hitachi,Hitachi HUA722050CLA330,JPW9K0N120501L,500107.86 MB,Success,04:21:13,ITAMG,Overwrite,3,0,0,Xyratex,HS-1235T-ATX,"Intel(R) Xeon(R) CPU           E5620  @ 2.40GHz, Speed: 2400 MHz, Cores: 4, L1 Cache: 256 kB, L2 Cache: 1024 kB",,,,"24576 MB, Memory banks: 3, Other DIMM","Vendor: Intel Corporation, Product: 82574L Gigabit Network Connection, MAC Address: 00:50:cc:6a:33:e2","Vendor: Intel Corporation, Product: 82574L Gigabit Network Connection, MAC Address: 00:50:cc:6a:33:e3","Vendor: Unavailable, Product: Unavailable, MAC Address: 00:e0:4c:68:89:5b",,Device-CD#0,,,,"sdj, Product: SEAGATE ST3500320NS, Serial: 9QMCMEP1, Size: 500.11 GB","sda, Product: SEAGATE ST3500320NS, Serial: 9QMCKMHS, Size: 500.11 GB","sdb, Product: SEAGATE ST31000340NS, Serial: 9QJ42N62, Size: 1000.20 GB","sdc, Product: SEAGATE ST31000340NS, Serial: 9QJ41GAY, Size: 1000.20 GB","sdd, Product: SEAGATE ST31000340NS, Serial: 9QJ42NJ5, Size: 1000.20 GB","sdi, Product: SEAGATE ST3500320NS, Serial: 9QMCMJM9, Size: 500.11 GB","sdg, Product: SEAGATE ST31000340NS, Serial: 9QJ41GK8, Size: 1000.20 GB","sdk, Product: Hitachi HUA722050CLA330, Serial: JPW9K0N11XJD7L, Size: 500.11 GB","sdl, Product: Hitachi HUA722050CLA330, Serial: JPW9K0N120501L, Size: 500.11 GB","sdh, Product: Hitachi HUA722050CLA330, Serial: JPW9K0N11XRNBL, Size: 500.11 GB",,,,,,,"Vendor: ASPEED Technology, Inc., Product: ASPEED Graphics Family",,,9,2,Pass,Pass,Pass,Pass,Pass,Xyratex,Storage Server,MBP0944037G284B,0,0,0,0,0,0,Randy Prashad,Username,9999999992,Asset Number,Tangoe,Lot Name,17473,Lot Number,Parts_Hard Drive 3.5,\"Product\",,,,,,,,,,,"Wednesday, 04 Dec 2019 at 04:55:01","Wednesday, 04 Dec 2019 at 09:16:14",0,Department of Defense 5220.22-M - 3 Pass,,WipeDrive Enterprise 9.1.3 64-bit,ABA69E77-4B43-4C15-8F21-B57B483DB96B,232EE41E-EBD4-4A43-90C6-180236474F85,Undefined,0,0,0,0,0,976773168,0,976773168,0,Clear,0,0,0
Unavailable,4.14.65-gentoo,,04-12-2019 17:53,10,Hitachi,Hitachi HUA722050CLA330,JPW9K0N11XRNBL,500107.86 MB,Success,04:35:59,ITAMG,Overwrite,3,0,0,Xyratex,HS-1235T-ATX,"Intel(R) Xeon(R) CPU           E5620  @ 2.40GHz, Speed: 2400 MHz, Cores: 4, L1 Cache: 256 kB, L2 Cache: 1024 kB",,,,"24576 MB, Memory banks: 3, Other DIMM","Vendor: Intel Corporation, Product: 82574L Gigabit Network Connection, MAC Address: 00:50:cc:6a:33:e2","Vendor: Intel Corporation, Product: 82574L Gigabit Network Connection, MAC Address: 00:50:cc:6a:33:e3","Vendor: Unavailable, Product: Unavailable, MAC Address: 00:e0:4c:68:89:5b",,Device-CD#0,,,,"sdj, Product: SEAGATE ST3500320NS, Serial: 9QMCMEP1, Size: 500.11 GB","sda, Product: SEAGATE ST3500320NS, Serial: 9QMCKMHS, Size: 500.11 GB","sdb, Product: SEAGATE ST31000340NS, Serial: 9QJ42N62, Size: 1000.20 GB","sdc, Product: SEAGATE ST31000340NS, Serial: 9QJ41GAY, Size: 1000.20 GB","sdd, Product: SEAGATE ST31000340NS, Serial: 9QJ42NJ5, Size: 1000.20 GB","sdi, Product: SEAGATE ST3500320NS, Serial: 9QMCMJM9, Size: 500.11 GB","sdg, Product: SEAGATE ST31000340NS, Serial: 9QJ41GK8, Size: 1000.20 GB","sdk, Product: Hitachi HUA722050CLA330, Serial: JPW9K0N11XJD7L, Size: 500.11 GB","sdl, Product: Hitachi HUA722050CLA330, Serial: JPW9K0N120501L, Size: 500.11 GB","sdh, Product: Hitachi HUA722050CLA330, Serial: JPW9K0N11XRNBL, Size: 500.11 GB",,,,,,,"Vendor: ASPEED Technology, Inc., Product: ASPEED Graphics Family",,,9,2,Pass,Pass,Pass,Pass,Pass,Xyratex,Storage Server,MBP0944037G284B,0,0,0,0,0,0,Randy Prashad,Username,9999999992,Asset Number,Tangoe,Lot Name,17473,Lot Number,Parts_Hard Drive 3.5,\"Product\",,,,,,,,,,,"Wednesday, 04 Dec 2019 at 04:55:01","Wednesday, 04 Dec 2019 at 09:31:00",0,Department of Defense 5220.22-M - 3 Pass,,WipeDrive Enterprise 9.1.3 64-bit,5418DFF0-C18C-4FE7-BF17-05CAF0A618FC,232EE41E-EBD4-4A43-90C6-180236474F85,Undefined,0,0,0,0,0,976773168,0,976773168,0,Clear,0,0,0
