Computer ID,Kernel Version,Custom field,Date/Time,Drive #,Vendor,Drive Model,Drive Serial,Drive Size,Action Result,Action Duration,User name,Action,Number of wipes,Drive Errors,Dirty Sectors,Motherboard Vendor,Motherboard Product,CPU 1,CPU 2,CPU 3,CPU 4,RAM,NIC 1,NIC 2,NIC 3,NIC 4,Optical Drive 1,Optical Drive 2,Optical Drive 3,Optical Drive 4,Hard Drive 1,Hard Drive 2,Hard Drive 3,Hard Drive 4,Hard Drive 5,Hard Drive 6,Hard Drive 7,Hard Drive 8,Hard Drive 9,Hard Drive 10,Hard Drive 11,Hard Drive 12,Hard Drive 13,Hard Drive 14,Hard Drive 15,Hard Drive 16,Video Card 1,Video Card 2,Multimedia Card 1,USB1 Ports,USB2 Ports,Motherboard Test,Processor Test,Memory Test,Display Test,Keyboard Test,Computer Vendor,Computer Model,Computer Serial,HPA Detected,HPA Removed,DCO Detected,DCO Removed,Secure Erase Passes,Secure Erase Enhanced Passes,user1,user1-name,user2,user2-name,user3,user3-name,user4,user4-name,user5-values,user5-name,user6,user6-name,user7,user7-name,user8,user8-name,user9,user9-name,user10,user10-name,Action Start Time,Action End Time,USB3 Ports,Wipe Pattern,SSD whitelist support level,Software Used,UUID,Job UUID,Pre-wipe test result,Pre-wipe test duration(seconds),Pre-wipe test sectors read,Sanitize Crypto Erase Passes,Sanitize Block Erase Passes,Sanitize Overwrite Passes,Sectors Overwritten,Sectors Not Overwritten,Sectors Verified,DCO-Locked,NIST Method Type,AMAX Detected,AMAX Removed,OPAL Crypto Erase Passes
Unavailable,4.14.65-gentoo,,30-07-2018 19:52,1,HP,MB2000FBUCL,YFH6AN8D,2000365.38 MB,Success,22:13:50,ITAMG,Overwrite,3,0,0,Unavailable,Unavailable,"Intel(R) Xeon(R) CPU X5650 @ 2.67GHz, Speed: 2700 MHz, Cores: 6, L1 Cache: 192 kB, L2 Cache: 1536 kB","Intel(R) Xeon(R) CPU X5650 @ 2.67GHz, Speed: 2700 MHz, Cores: 6, L1 Cache: 192 kB, L2 Cache: 1536 kB",,,"40960 MB, Memory banks: 8, DDR3 DIMM",,,,,,,,,"sde, Product: MB2000FBUCL, Serial: YFH6AN8D, Size: 2000.37 GB","sda, Product: MB2000FCWDF, Serial: Z1X0QRY70000C406132C, Size: 2000.37 GB","sdl, Product: MB2000FBUCL, Serial: YFH65XVD, Size: 2000.37 GB","sdb, Product: MB2000FBUCL, Serial: YGH1ALGD, Size: 2000.37 GB","sdk, Product: MB2000FBUCL, Serial: YFH562PD, Size: 2000.37 GB","sdc, Product: MB2000FBUCL, Serial: YGH1AS1D, Size: 2000.37 GB","sdj, Product: MB2000FCZGH, Serial: P6K0T5MV, Size: 2000.37 GB","sdd, Product: EF0600FATFF, Serial: LXVHZRDM, Size: 600.09 GB","sdi, Product: MB2000FBUCL, Serial: YGH1ASAD, Size: 2000.37 GB","sdh, Product: MB2000FBUCL, Serial: YFH6BNHD, Size: 2000.37 GB","sdf, Product: EF0600FATFF, Serial: LXVHMW5M, Size: 600.09 GB","sdg, Product: EF0600FATFF, Serial: LXVHNDEM, Size: 600.09 GB",,,,,"Vendor: Advanced Micro Devices, Inc. [AMD/ATI], Product: ES1000",,,4,1,Pass,Pass,Pass,Pass,Pass,HP,ProLiant DL370 G6,USE2267WKX,0,0,0,0,0,0,Randy Prashad,Username,563800,Asset Number,Northwell Health,Lot Name,18818,Lot Number,Server,\"Product\",,,,,,,,,,,"Sunday, 29 Jul 2018 at 21:33:28","Monday, 30 Jul 2018 at 19:47:18",0,Department of Defense 5220.22-M - 3 Pass,,WipeDrive Enterprise 9.1.3 64-bit,FB61B481-F406-4363-B507-4C45878D0B40,98B938A5-3CBC-4BDA-A235-6882182F8A99,Undefined,0,0,0,0,0,3906963632,0,3906963632,0,Unknown,0,0,0
Unavailable,4.14.65-gentoo,,30-07-2018 19:52,2,HP,MB2000FCWDF,Z1X0QRY70000C406132C,2000365.38 MB,Success,22:00:38,ITAMG,Overwrite,3,0,0,Unavailable,Unavailable,"Intel(R) Xeon(R) CPU X5650 @ 2.67GHz, Speed: 2700 MHz, Cores: 6, L1 Cache: 192 kB, L2 Cache: 1536 kB","Intel(R) Xeon(R) CPU X5650 @ 2.67GHz, Speed: 2700 MHz, Cores: 6, L1 Cache: 192 kB, L2 Cache: 1536 kB",,,"40960 MB, Memory banks: 8, DDR3 DIMM",,,,,,,,,"sde, Product: MB2000FBUCL, Serial: YFH6AN8D, Size: 2000.37 GB","sda, Product: MB2000FCWDF, Serial: Z1X0QRY70000C406132C, Size: 2000.37 GB","sdl, Product: MB2000FBUCL, Serial: YFH65XVD, Size: 2000.37 GB","sdb, Product: MB2000FBUCL, Serial: YGH1ALGD, Size: 2000.37 GB","sdk, Product: MB2000FBUCL, Serial: YFH562PD, Size: 2000.37 GB","sdc, Product: MB2000FBUCL, Serial: YGH1AS1D, Size: 2000.37 GB","sdj, Product: MB2000FCZGH, Serial: P6K0T5MV, Size: 2000.37 GB","sdd, Product: EF0600FATFF, Serial: LXVHZRDM, Size: 600.09 GB","sdi, Product: MB2000FBUCL, Serial: YGH1ASAD, Size: 2000.37 GB","sdh, Product: MB2000FBUCL, Serial: YFH6BNHD, Size: 2000.37 GB","sdf, Product: EF0600FATFF, Serial: LXVHMW5M, Size: 600.09 GB","sdg, Product: EF0600FATFF, Serial: LXVHNDEM, Size: 600.09 GB",,,,,"Vendor: Advanced Micro Devices, Inc. [AMD/ATI], Product: ES1000",,,4,1,Pass,Pass,Pass,Pass,Pass,HP,ProLiant DL370 G6,USE2267WKX,0,0,0,0,0,0,Randy Prashad,Username,563800,Asset Number,Northwell Health,Lot Name,18818,Lot Number,Server,\"Product\",,,,,,,,,,,"Sunday, 29 Jul 2018 at 21:33:29","Monday, 30 Jul 2018 at 19:34:07",0,Department of Defense 5220.22-M - 3 Pass,,WipeDrive Enterprise 9.1.3 64-bit,2AB87130-9239-46BD-BB91-E3558AF403A7,98B938A5-3CBC-4BDA-A235-6882182F8A99,Undefined,0,0,0,0,0,3906963632,0,3906963632,0,Unknown,0,0,0
Unavailable,4.14.65-gentoo,,30-07-2018 19:52,3,HP,MB2000FBUCL,YFH65XVD,2000365.38 MB,Success,22:16:09,ITAMG,Overwrite,3,0,0,Unavailable,Unavailable,"Intel(R) Xeon(R) CPU X5650 @ 2.67GHz, Speed: 2700 MHz, Cores: 6, L1 Cache: 192 kB, L2 Cache: 1536 kB","Intel(R) Xeon(R) CPU X5650 @ 2.67GHz, Speed: 2700 MHz, Cores: 6, L1 Cache: 192 kB, L2 Cache: 1536 kB",,,"40960 MB, Memory banks: 8, DDR3 DIMM",,,,,,,,,"sde, Product: MB2000FBUCL, Serial: YFH6AN8D, Size: 2000.37 GB","sda, Product: MB2000FCWDF, Serial: Z1X0QRY70000C406132C, Size: 2000.37 GB","sdl, Product: MB2000FBUCL, Serial: YFH65XVD, Size: 2000.37 GB","sdb, Product: MB2000FBUCL, Serial: YGH1ALGD, Size: 2000.37 GB","sdk, Product: MB2000FBUCL, Serial: YFH562PD, Size: 2000.37 GB","sdc, Product: MB2000FBUCL, Serial: YGH1AS1D, Size: 2000.37 GB","sdj, Product: MB2000FCZGH, Serial: P6K0T5MV, Size: 2000.37 GB","sdd, Product: EF0600FATFF, Serial: LXVHZRDM, Size: 600.09 GB","sdi, Product: MB2000FBUCL, Serial: YGH1ASAD, Size: 2000.37 GB","sdh, Product: MB2000FBUCL, Serial: YFH6BNHD, Size: 2000.37 GB","sdf, Product: EF0600FATFF, Serial: LXVHMW5M, Size: 600.09 GB","sdg, Product: EF0600FATFF, Serial: LXVHNDEM, Size: 600.09 GB",,,,,"Vendor: Advanced Micro Devices, Inc. [AMD/ATI], Product: ES1000",,,4,1,Pass,Pass,Pass,Pass,Pass,HP,ProLiant DL370 G6,USE2267WKX,0,0,0,0,0,0,Randy Prashad,Username,563800,Asset Number,Northwell Health,Lot Name,18818,Lot Number,Server,\"Product\",,,,,,,,,,,"Sunday, 29 Jul 2018 at 21:33:28","Monday, 30 Jul 2018 at 19:49:37",0,Department of Defense 5220.22-M - 3 Pass,,WipeDrive Enterprise 9.1.3 64-bit,3C3C56C8-7202-46E3-BE6E-2C397E9CB9CB,98B938A5-3CBC-4BDA-A235-6882182F8A99,Undefined,0,0,0,0,0,3906963632,0,3906963632,0,Unknown,0,0,0
Unavailable,4.14.65-gentoo,,30-07-2018 19:52,4,HP,MB2000FBUCL,YGH1ALGD,2000365.38 MB,Success,22:16:27,ITAMG,Overwrite,3,0,0,Unavailable,Unavailable,"Intel(R) Xeon(R) CPU X5650 @ 2.67GHz, Speed: 2700 MHz, Cores: 6, L1 Cache: 192 kB, L2 Cache: 1536 kB","Intel(R) Xeon(R) CPU X5650 @ 2.67GHz, Speed: 2700 MHz, Cores: 6, L1 Cache: 192 kB, L2 Cache: 1536 kB",,,"40960 MB, Memory banks: 8, DDR3 DIMM",,,,,,,,,"sde, Product: MB2000FBUCL, Serial: YFH6AN8D, Size: 2000.37 GB","sda, Product: MB2000FCWDF, Serial: Z1X0QRY70000C406132C, Size: 2000.37 GB","sdl, Product: MB2000FBUCL, Serial: YFH65XVD, Size: 2000.37 GB","sdb, Product: MB2000FBUCL, Serial: YGH1ALGD, Size: 2000.37 GB","sdk, Product: MB2000FBUCL, Serial: YFH562PD, Size: 2000.37 GB","sdc, Product: MB2000FBUCL, Serial: YGH1AS1D, Size: 2000.37 GB","sdj, Product: MB2000FCZGH, Serial: P6K0T5MV, Size: 2000.37 GB","sdd, Product: EF0600FATFF, Serial: LXVHZRDM, Size: 600.09 GB","sdi, Product: MB2000FBUCL, Serial: YGH1ASAD, Size: 2000.37 GB","sdh, Product: MB2000FBUCL, Serial: YFH6BNHD, Size: 2000.37 GB","sdf, Product: EF0600FATFF, Serial: LXVHMW5M, Size: 600.09 GB","sdg, Product: EF0600FATFF, Serial: LXVHNDEM, Size: 600.09 GB",,,,,"Vendor: Advanced Micro Devices, Inc. [AMD/ATI], Product: ES1000",,,4,1,Pass,Pass,Pass,Pass,Pass,HP,ProLiant DL370 G6,USE2267WKX,0,0,0,0,0,0,Randy Prashad,Username,563800,Asset Number,Northwell Health,Lot Name,18818,Lot Number,Server,\"Product\",,,,,,,,,,,"Sunday, 29 Jul 2018 at 21:33:29","Monday, 30 Jul 2018 at 19:49:56",0,Department of Defense 5220.22-M - 3 Pass,,WipeDrive Enterprise 9.1.3 64-bit,AEF2DBE9-99BB-49F0-8D8C-F3DE6E95EBBB,98B938A5-3CBC-4BDA-A235-6882182F8A99,Undefined,0,0,0,0,0,3906963632,0,3906963632,0,Unknown,0,0,0
Unavailable,4.14.65-gentoo,,30-07-2018 19:52,5,HP,MB2000FBUCL,YFH562PD,2000365.38 MB,Success,22:17:34,ITAMG,Overwrite,3,0,0,Unavailable,Unavailable,"Intel(R) Xeon(R) CPU X5650 @ 2.67GHz, Speed: 2700 MHz, Cores: 6, L1 Cache: 192 kB, L2 Cache: 1536 kB","Intel(R) Xeon(R) CPU X5650 @ 2.67GHz, Speed: 2700 MHz, Cores: 6, L1 Cache: 192 kB, L2 Cache: 1536 kB",,,"40960 MB, Memory banks: 8, DDR3 DIMM",,,,,,,,,"sde, Product: MB2000FBUCL, Serial: YFH6AN8D, Size: 2000.37 GB","sda, Product: MB2000FCWDF, Serial: Z1X0QRY70000C406132C, Size: 2000.37 GB","sdl, Product: MB2000FBUCL, Serial: YFH65XVD, Size: 2000.37 GB","sdb, Product: MB2000FBUCL, Serial: YGH1ALGD, Size: 2000.37 GB","sdk, Product: MB2000FBUCL, Serial: YFH562PD, Size: 2000.37 GB","sdc, Product: MB2000FBUCL, Serial: YGH1AS1D, Size: 2000.37 GB","sdj, Product: MB2000FCZGH, Serial: P6K0T5MV, Size: 2000.37 GB","sdd, Product: EF0600FATFF, Serial: LXVHZRDM, Size: 600.09 GB","sdi, Product: MB2000FBUCL, Serial: YGH1ASAD, Size: 2000.37 GB","sdh, Product: MB2000FBUCL, Serial: YFH6BNHD, Size: 2000.37 GB","sdf, Product: EF0600FATFF, Serial: LXVHMW5M, Size: 600.09 GB","sdg, Product: EF0600FATFF, Serial: LXVHNDEM, Size: 600.09 GB",,,,,"Vendor: Advanced Micro Devices, Inc. [AMD/ATI], Product: ES1000",,,4,1,Pass,Pass,Pass,Pass,Pass,HP,ProLiant DL370 G6,USE2267WKX,0,0,0,0,0,0,Randy Prashad,Username,563800,Asset Number,Northwell Health,Lot Name,18818,Lot Number,Server,\"Product\",,,,,,,,,,,"Sunday, 29 Jul 2018 at 21:33:28","Monday, 30 Jul 2018 at 19:51:02",0,Department of Defense 5220.22-M - 3 Pass,,WipeDrive Enterprise 9.1.3 64-bit,51B66CE6-E5F4-4B9D-BAD4-ED4C7C84024D,98B938A5-3CBC-4BDA-A235-6882182F8A99,Undefined,0,0,0,0,0,3906963632,0,3906963632,0,Unknown,0,0,0
Unavailable,4.14.65-gentoo,,30-07-2018 19:52,6,HP,MB2000FBUCL,YGH1AS1D,2000365.38 MB,Success,22:14:20,ITAMG,Overwrite,3,0,0,Unavailable,Unavailable,"Intel(R) Xeon(R) CPU X5650 @ 2.67GHz, Speed: 2700 MHz, Cores: 6, L1 Cache: 192 kB, L2 Cache: 1536 kB","Intel(R) Xeon(R) CPU X5650 @ 2.67GHz, Speed: 2700 MHz, Cores: 6, L1 Cache: 192 kB, L2 Cache: 1536 kB",,,"40960 MB, Memory banks: 8, DDR3 DIMM",,,,,,,,,"sde, Product: MB2000FBUCL, Serial: YFH6AN8D, Size: 2000.37 GB","sda, Product: MB2000FCWDF, Serial: Z1X0QRY70000C406132C, Size: 2000.37 GB","sdl, Product: MB2000FBUCL, Serial: YFH65XVD, Size: 2000.37 GB","sdb, Product: MB2000FBUCL, Serial: YGH1ALGD, Size: 2000.37 GB","sdk, Product: MB2000FBUCL, Serial: YFH562PD, Size: 2000.37 GB","sdc, Product: MB2000FBUCL, Serial: YGH1AS1D, Size: 2000.37 GB","sdj, Product: MB2000FCZGH, Serial: P6K0T5MV, Size: 2000.37 GB","sdd, Product: EF0600FATFF, Serial: LXVHZRDM, Size: 600.09 GB","sdi, Product: MB2000FBUCL, Serial: YGH1ASAD, Size: 2000.37 GB","sdh, Product: MB2000FBUCL, Serial: YFH6BNHD, Size: 2000.37 GB","sdf, Product: EF0600FATFF, Serial: LXVHMW5M, Size: 600.09 GB","sdg, Product: EF0600FATFF, Serial: LXVHNDEM, Size: 600.09 GB",,,,,"Vendor: Advanced Micro Devices, Inc. [AMD/ATI], Product: ES1000",,,4,1,Pass,Pass,Pass,Pass,Pass,HP,ProLiant DL370 G6,USE2267WKX,0,0,0,0,0,0,Randy Prashad,Username,563800,Asset Number,Northwell Health,Lot Name,18818,Lot Number,Server,\"Product\",,,,,,,,,,,"Sunday, 29 Jul 2018 at 21:33:28","Monday, 30 Jul 2018 at 19:47:48",0,Department of Defense 5220.22-M - 3 Pass,,WipeDrive Enterprise 9.1.3 64-bit,C16084B4-0DF3-48EC-BF20-C71504F3CE35,98B938A5-3CBC-4BDA-A235-6882182F8A99,Undefined,0,0,0,0,0,3906963632,0,3906963632,0,Unknown,0,0,0
Unavailable,4.14.65-gentoo,,30-07-2018 19:52,7,HP,MB2000FCZGH,P6K0T5MV,2000365.38 MB,Success,21:33:38,ITAMG,Overwrite,3,0,0,Unavailable,Unavailable,"Intel(R) Xeon(R) CPU X5650 @ 2.67GHz, Speed: 2700 MHz, Cores: 6, L1 Cache: 192 kB, L2 Cache: 1536 kB","Intel(R) Xeon(R) CPU X5650 @ 2.67GHz, Speed: 2700 MHz, Cores: 6, L1 Cache: 192 kB, L2 Cache: 1536 kB",,,"40960 MB, Memory banks: 8, DDR3 DIMM",,,,,,,,,"sde, Product: MB2000FBUCL, Serial: YFH6AN8D, Size: 2000.37 GB","sda, Product: MB2000FCWDF, Serial: Z1X0QRY70000C406132C, Size: 2000.37 GB","sdl, Product: MB2000FBUCL, Serial: YFH65XVD, Size: 2000.37 GB","sdb, Product: MB2000FBUCL, Serial: YGH1ALGD, Size: 2000.37 GB","sdk, Product: MB2000FBUCL, Serial: YFH562PD, Size: 2000.37 GB","sdc, Product: MB2000FBUCL, Serial: YGH1AS1D, Size: 2000.37 GB","sdj, Product: MB2000FCZGH, Serial: P6K0T5MV, Size: 2000.37 GB","sdd, Product: EF0600FATFF, Serial: LXVHZRDM, Size: 600.09 GB","sdi, Product: MB2000FBUCL, Serial: YGH1ASAD, Size: 2000.37 GB","sdh, Product: MB2000FBUCL, Serial: YFH6BNHD, Size: 2000.37 GB","sdf, Product: EF0600FATFF, Serial: LXVHMW5M, Size: 600.09 GB","sdg, Product: EF0600FATFF, Serial: LXVHNDEM, Size: 600.09 GB",,,,,"Vendor: Advanced Micro Devices, Inc. [AMD/ATI], Product: ES1000",,,4,1,Pass,Pass,Pass,Pass,Pass,HP,ProLiant DL370 G6,USE2267WKX,0,0,0,0,0,0,Randy Prashad,Username,563800,Asset Number,Northwell Health,Lot Name,18818,Lot Number,Server,\"Product\",,,,,,,,,,,"Sunday, 29 Jul 2018 at 21:33:29","Monday, 30 Jul 2018 at 19:07:07",0,Department of Defense 5220.22-M - 3 Pass,,WipeDrive Enterprise 9.1.3 64-bit,CB893DED-D352-4B77-9974-EE89DB4E1AAE,98B938A5-3CBC-4BDA-A235-6882182F8A99,Undefined,0,0,0,0,0,3906963632,0,3906963632,0,Unknown,0,0,0
Unavailable,4.14.65-gentoo,,30-07-2018 19:52,8,HP,EF0600FATFF,LXVHZRDM,600093.71 MB,Success,09:46:28,ITAMG,Overwrite,3,0,0,Unavailable,Unavailable,"Intel(R) Xeon(R) CPU X5650 @ 2.67GHz, Speed: 2700 MHz, Cores: 6, L1 Cache: 192 kB, L2 Cache: 1536 kB","Intel(R) Xeon(R) CPU X5650 @ 2.67GHz, Speed: 2700 MHz, Cores: 6, L1 Cache: 192 kB, L2 Cache: 1536 kB",,,"40960 MB, Memory banks: 8, DDR3 DIMM",,,,,,,,,"sde, Product: MB2000FBUCL, Serial: YFH6AN8D, Size: 2000.37 GB","sda, Product: MB2000FCWDF, Serial: Z1X0QRY70000C406132C, Size: 2000.37 GB","sdl, Product: MB2000FBUCL, Serial: YFH65XVD, Size: 2000.37 GB","sdb, Product: MB2000FBUCL, Serial: YGH1ALGD, Size: 2000.37 GB","sdk, Product: MB2000FBUCL, Serial: YFH562PD, Size: 2000.37 GB","sdc, Product: MB2000FBUCL, Serial: YGH1AS1D, Size: 2000.37 GB","sdj, Product: MB2000FCZGH, Serial: P6K0T5MV, Size: 2000.37 GB","sdd, Product: EF0600FATFF, Serial: LXVHZRDM, Size: 600.09 GB","sdi, Product: MB2000FBUCL, Serial: YGH1ASAD, Size: 2000.37 GB","sdh, Product: MB2000FBUCL, Serial: YFH6BNHD, Size: 2000.37 GB","sdf, Product: EF0600FATFF, Serial: LXVHMW5M, Size: 600.09 GB","sdg, Product: EF0600FATFF, Serial: LXVHNDEM, Size: 600.09 GB",,,,,"Vendor: Advanced Micro Devices, Inc. [AMD/ATI], Product: ES1000",,,4,1,Pass,Pass,Pass,Pass,Pass,HP,ProLiant DL370 G6,USE2267WKX,0,0,0,0,0,0,Randy Prashad,Username,563800,Asset Number,Northwell Health,Lot Name,18818,Lot Number,Server,\"Product\",,,,,,,,,,,"Sunday, 29 Jul 2018 at 21:33:29","Monday, 30 Jul 2018 at 07:19:57",0,Department of Defense 5220.22-M - 3 Pass,,WipeDrive Enterprise 9.1.3 64-bit,88C4C884-DE26-4CC8-8541-A66C15540E9A,98B938A5-3CBC-4BDA-A235-6882182F8A99,Undefined,0,0,0,0,0,1172058032,0,1172058032,0,Unknown,0,0,0
Unavailable,4.14.65-gentoo,,30-07-2018 19:52,9,HP,MB2000FBUCL,YGH1ASAD,2000365.38 MB,Success,22:18:53,ITAMG,Overwrite,3,0,0,Unavailable,Unavailable,"Intel(R) Xeon(R) CPU X5650 @ 2.67GHz, Speed: 2700 MHz, Cores: 6, L1 Cache: 192 kB, L2 Cache: 1536 kB","Intel(R) Xeon(R) CPU X5650 @ 2.67GHz, Speed: 2700 MHz, Cores: 6, L1 Cache: 192 kB, L2 Cache: 1536 kB",,,"40960 MB, Memory banks: 8, DDR3 DIMM",,,,,,,,,"sde, Product: MB2000FBUCL, Serial: YFH6AN8D, Size: 2000.37 GB","sda, Product: MB2000FCWDF, Serial: Z1X0QRY70000C406132C, Size: 2000.37 GB","sdl, Product: MB2000FBUCL, Serial: YFH65XVD, Size: 2000.37 GB","sdb, Product: MB2000FBUCL, Serial: YGH1ALGD, Size: 2000.37 GB","sdk, Product: MB2000FBUCL, Serial: YFH562PD, Size: 2000.37 GB","sdc, Product: MB2000FBUCL, Serial: YGH1AS1D, Size: 2000.37 GB","sdj, Product: MB2000FCZGH, Serial: P6K0T5MV, Size: 2000.37 GB","sdd, Product: EF0600FATFF, Serial: LXVHZRDM, Size: 600.09 GB","sdi, Product: MB2000FBUCL, Serial: YGH1ASAD, Size: 2000.37 GB","sdh, Product: MB2000FBUCL, Serial: YFH6BNHD, Size: 2000.37 GB","sdf, Product: EF0600FATFF, Serial: LXVHMW5M, Size: 600.09 GB","sdg, Product: EF0600FATFF, Serial: LXVHNDEM, Size: 600.09 GB",,,,,"Vendor: Advanced Micro Devices, Inc. [AMD/ATI], Product: ES1000",,,4,1,Pass,Pass,Pass,Pass,Pass,HP,ProLiant DL370 G6,USE2267WKX,0,0,0,0,0,0,Randy Prashad,Username,563800,Asset Number,Northwell Health,Lot Name,18818,Lot Number,Server,\"Product\",,,,,,,,,,,"Sunday, 29 Jul 2018 at 21:33:29","Monday, 30 Jul 2018 at 19:52:22",0,Department of Defense 5220.22-M - 3 Pass,,WipeDrive Enterprise 9.1.3 64-bit,ACA4392B-8BD5-437F-BDAA-2A63EEC7C578,98B938A5-3CBC-4BDA-A235-6882182F8A99,Undefined,0,0,0,0,0,3906963632,0,3906963632,0,Unknown,0,0,0
Unavailable,4.14.65-gentoo,,30-07-2018 19:52,10,HP,MB2000FBUCL,YFH6BNHD,2000365.38 MB,Success,22:16:43,ITAMG,Overwrite,3,0,0,Unavailable,Unavailable,"Intel(R) Xeon(R) CPU X5650 @ 2.67GHz, Speed: 2700 MHz, Cores: 6, L1 Cache: 192 kB, L2 Cache: 1536 kB","Intel(R) Xeon(R) CPU X5650 @ 2.67GHz, Speed: 2700 MHz, Cores: 6, L1 Cache: 192 kB, L2 Cache: 1536 kB",,,"40960 MB, Memory banks: 8, DDR3 DIMM",,,,,,,,,"sde, Product: MB2000FBUCL, Serial: YFH6AN8D, Size: 2000.37 GB","sda, Product: MB2000FCWDF, Serial: Z1X0QRY70000C406132C, Size: 2000.37 GB","sdl, Product: MB2000FBUCL, Serial: YFH65XVD, Size: 2000.37 GB","sdb, Product: MB2000FBUCL, Serial: YGH1ALGD, Size: 2000.37 GB","sdk, Product: MB2000FBUCL, Serial: YFH562PD, Size: 2000.37 GB","sdc, Product: MB2000FBUCL, Serial: YGH1AS1D, Size: 2000.37 GB","sdj, Product: MB2000FCZGH, Serial: P6K0T5MV, Size: 2000.37 GB","sdd, Product: EF0600FATFF, Serial: LXVHZRDM, Size: 600.09 GB","sdi, Product: MB2000FBUCL, Serial: YGH1ASAD, Size: 2000.37 GB","sdh, Product: MB2000FBUCL, Serial: YFH6BNHD, Size: 2000.37 GB","sdf, Product: EF0600FATFF, Serial: LXVHMW5M, Size: 600.09 GB","sdg, Product: EF0600FATFF, Serial: LXVHNDEM, Size: 600.09 GB",,,,,"Vendor: Advanced Micro Devices, Inc. [AMD/ATI], Product: ES1000",,,4,1,Pass,Pass,Pass,Pass,Pass,HP,ProLiant DL370 G6,USE2267WKX,0,0,0,0,0,0,Randy Prashad,Username,563800,Asset Number,Northwell Health,Lot Name,18818,Lot Number,Server,\"Product\",,,,,,,,,,,"Sunday, 29 Jul 2018 at 21:33:28","Monday, 30 Jul 2018 at 19:50:11",0,Department of Defense 5220.22-M - 3 Pass,,WipeDrive Enterprise 9.1.3 64-bit,0E8B8A16-2CEE-4516-9D3F-A9BB603925E6,98B938A5-3CBC-4BDA-A235-6882182F8A99,Undefined,0,0,0,0,0,3906963632,0,3906963632,0,Unknown,0,0,0
